name,cca3,un_member,currencies,languages,landlocked,borders,area,population,timezones,flag_colors,population_density,GDP Per Capita,exports,imports
Namibia,NAM,True,Namibian dollar;South African rand,Afrikaans;German;English;Herero;Khoekhoe;Kwangali;Lozi;Ndonga;Tswana,False,AGO;BWA;ZAF;ZMB,825615.0,2540916,UTC+01:00,blue;red;green;white;yellow,3.7,4911.0,Botswana;South Africa;China,South Africa;China;India
United Arab Emirates,ARE,True,United Arab Emirates dirham,Arabic,False,OMN;SAU,83600.0,9890400,UTC+04:00,red;green;white;black,155.3,53708.0,Saudi Arabia;India,Areas nes;China;India
Bulgaria,BGR,True,Bulgarian lev,Bulgarian,False,GRC;MKD;ROU;SRB;TUR,110879.0,6927288,UTC+02:00,white;green;red,62.3,13302.0,Germany;Romania;Italy,Germany;Turkey;Romania
Germany,DEU,True,Euro,German,False,AUT;BEL;CZE;DNK;FRA;LUX;NLD;POL;CHE,357114.0,83240525,UTC+01:00,black;red;gold,242.6,48902.0,United States;France;Netherlands,China;Netherlands;United States
Cambodia,KHM,True,Cambodian riel;United States dollar,Khmer,False,LAO;THA;VNM,181035.0,16718971,UTC+07:00,red;blue,97.4,1760.0,United States;China;Japan,China;Vietnam;Thailand
Iraq,IRQ,True,Iraqi dinar,Arabic;Aramaic;Sorani,False,IRN;JOR;KWT;SAU;SYR;TUR,438317.0,40222503,UTC+03:00,red;white;black;green,106.1,5937.0,India;China;United States,United Arab Emirates;China;Turkey
Sweden,SWE,True,Swedish krona,Swedish,False,FIN;NOR,450295.0,10353442,UTC+01:00,blue;yellow,26.0,56040.0,Germany;Norway;United States,Germany;Netherlands;Norway
Cuba,CUB,True,Cuban convertible peso;Cuban peso,Spanish,False,,109884.0,11326616,UTC-05:00,blue;white;red,102.8,13128.0,Canada;China;Spain,Spain;China;United States
Kyrgyzstan,KGZ,True,Kyrgyzstani som,Kyrgyz;Russian,True,CHN;KAZ;TJK;UZB,199951.0,6591600,UTC+06:00,red;yellow,37.5,1649.0,Russia;Kazakhstan;Uzbekistan,China;Russia;Kazakhstan
Russia,RUS,True,Russian ruble,Russian,False,AZE;BLR;CHN;EST;FIN;GEO;KAZ;PRK;LVA;LTU;MNG;NOR;POL;UKR,17098242.0,144104080,UTC+03:00;UTC+04:00;UTC+06:00;UTC+07:00;UTC+08:00;UTC+09:00;UTC+10:00;UTC+11:00;UTC+12:00,white;blue;red,8.8,15482.0,China;Netherlands;Germany,China;Germany;United States
Malaysia,MYS,True,Malaysian ringgit,English;Malay,False,BRN;IDN;THA,330803.0,32365998,UTC+08:00,gold;black,108.2,11972.0,Singapore;China;United States,China;Singapore;United States
Cyprus,CYP,True,Euro,Greek;Turkish,False,,9251.0,1207361,UTC+02:00,blue;white,147.0,32999.0,Libya;Lebanon,Greece;United Kingdom;Italy
