name,cca3,un_member,currencies,languages,landlocked,borders,area,population,timezones,flag_colors
Qatar,QAT,True,Qatari riyal,Arabic,False,SAU,11586.0,2881060,UTC+03:00,maroon;white
Madagascar,MDG,True,Malagasy ariary,French;Malagasy,False,,587041.0,27691019,UTC+03:00,red;green;white
India,IND,True,Indian rupee,English;Hindi;Tamil,False,BGD;BTN;MMR;CHN;NPL;PAK,3287590.0,1380004385,UTC+05:30,saffronorange;blue;white;green
Syria,SYR,True,Syrian pound,Arabic,False,IRQ;ISR;JOR;LBN;TUR,185180.0,17500657,UTC+02:00,red;white;black;green
Montenegro,MNE,True,Euro,Montenegrin,False,ALB;BIH;HRV;UNK;SRB,13812.0,621718,UTC+01:00,red;gold
Eswatini,SWZ,True,Swazi lilangeni;South African rand,English;Swazi,True,MOZ;ZAF,17364.0,1160164,UTC+02:00,blue;yellow;red;black;white
Paraguay,PRY,True,Paraguayan guaraní,Guaraní;Spanish,True,ARG;BOL;BRA,406752.0,7132530,UTC-04:00,red;white;blue
El Salvador,SLV,True,United States dollar,Spanish,False,GTM;HND,21041.0,6486201,UTC-06:00,blue;white
Ukraine,UKR,True,Ukrainian hryvnia,Ukrainian,False,BLR;HUN;MDA;POL;ROU;RUS;SVK,603500.0,44134693,UTC+02:00,blue;gold
Namibia,NAM,True,Namibian dollar;South African rand,Afrikaans;German;English;Herero;Khoekhoe;Kwangali;Lozi;Ndonga;Tswana,False,AGO;BWA;ZAF;ZMB,825615.0,2540916,UTC+01:00,blue;red;green;white;yellow
United Arab Emirates,ARE,True,United Arab Emirates dirham,Arabic,False,OMN;SAU,83600.0,9890400,UTC+04:00,red;green;white;black
Bulgaria,BGR,True,Bulgarian lev,Bulgarian,False,GRC;MKD;ROU;SRB;TUR,110879.0,6927288,UTC+02:00,white;green;red
Germany,DEU,True,Euro,German,False,AUT;BEL;CZE;DNK;FRA;LUX;NLD;POL;CHE,357114.0,83240525,UTC+01:00,black;red;gold
Cambodia,KHM,True,Cambodian riel;United States dollar,Khmer,False,LAO;THA;VNM,181035.0,16718971,UTC+07:00,red;blue
Iraq,IRQ,True,Iraqi dinar,Arabic;Aramaic;Sorani,False,IRN;JOR;KWT;SAU;SYR;TUR,438317.0,40222503,UTC+03:00,red;white;black;green
Sweden,SWE,True,Swedish krona,Swedish,False,FIN;NOR,450295.0,10353442,UTC+01:00,blue;yellow
Cuba,CUB,True,Cuban convertible peso;Cuban peso,Spanish,False,,109884.0,11326616,UTC-05:00,blue;white;red
Kyrgyzstan,KGZ,True,Kyrgyzstani som,Kyrgyz;Russian,True,CHN;KAZ;TJK;UZB,199951.0,6591600,UTC+06:00,red;yellow
Russia,RUS,True,Russian ruble,Russian,False,AZE;BLR;CHN;EST;FIN;GEO;KAZ;PRK;LVA;LTU;MNG;NOR;POL;UKR,17098242.0,144104080,UTC+03:00;UTC+04:00;UTC+06:00;UTC+07:00;UTC+08:00;UTC+09:00;UTC+10:00;UTC+11:00;UTC+12:00,white;blue;red
Malaysia,MYS,True,Malaysian ringgit,English;Malay,False,BRN;IDN;THA,330803.0,32365998,UTC+08:00,gold;black
Cyprus,CYP,True,Euro,Greek;Turkish,False,,9251.0,1207361,UTC+02:00,blue;white
Canada,CAN,True,Canadian dollar,English;French,False,USA,9984670.0,38005238,UTC-08:00;UTC-07:00;UTC-06:00;UTC-05:00;UTC-04:00;UTC-03:30,red;white
Malawi,MWI,True,Malawian kwacha,English;Chewa,True,MOZ;TZA;ZMB,118484.0,19129955,UTC+02:00,black;red;green
Saudi Arabia,SAU,True,Saudi riyal,Arabic,False,IRQ;JOR;KWT;OMN;QAT;ARE;YEM,2149690.0,34813867,UTC+03:00,green;white
Bosnia and Herzegovina,BIH,True,Bosnia and Herzegovina convertible mark,Bosnian;Croatian;Serbian,False,HRV;MNE;SRB,51209.0,3280815,UTC+01:00,blue;gold
Ethiopia,ETH,True,Ethiopian birr,Amharic,True,DJI;ERI;KEN;SOM;SSD;SDN,1104300.0,114963583,UTC+03:00,green;yellow;red;blue
Spain,ESP,True,Euro,Spanish;Catalan;Basque;Galician,False,AND;FRA;GIB;PRT;MAR,505992.0,47351567,UTC;UTC+01:00,red;gold
Slovenia,SVN,True,Euro,Slovene,False,AUT;HRV;ITA;HUN,20273.0,2100126,UTC+01:00,white;blue;red
Oman,OMN,True,Omani rial,Arabic,False,SAU;ARE;YEM,309500.0,5106622,UTC+04:00,red;white;green
San Marino,SMR,True,Euro,Italian,True,ITA,61.0,33938,UTC+01:00,white;lightblue
Lesotho,LSO,True,Lesotho loti;South African rand,English;Sotho,True,ZAF,30355.0,2142252,UTC+02:00,blue;white;green;black
Marshall Islands,MHL,True,United States dollar,English;Marshallese,False,,181.0,59194,UTC+12:00,blue;white;orange
Iceland,ISL,True,Icelandic króna,Icelandic,False,,103000.0,366425,UTC,blue;white;red
Luxembourg,LUX,True,Euro,German;French;Luxembourgish,True,BEL;FRA;DEU,2586.0,632275,UTC+01:00,red;white;lightblue
